,date,open,high,low,close,volume
90,2020-01-13 15:51:00,315.865,316.05,315.865,315.97,213816.0
91,2020-01-13 15:52:00,315.98,316.06,315.91,316.0201,125880.0
92,2020-01-13 15:53:00,316.04,316.2,316.03,316.1887,148628.0
93,2020-01-13 15:54:00,316.19,316.52,316.16,316.5,249130.0
94,2020-01-13 15:55:00,316.505,316.83,316.43,316.775,229720.0
95,2020-01-13 15:56:00,316.78,316.85,316.62,316.8,258685.0
96,2020-01-13 15:57:00,316.8,316.87,316.74,316.81,195809.0
97,2020-01-13 15:58:00,316.8176,317.03,316.77,316.9,320836.0
98,2020-01-13 15:59:00,316.91,317.01,316.86,316.9399,306207.0
99,2020-01-13 16:00:00,316.94,317.09,316.9,316.97,444259.0
